zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
2/8/2025 20:35:10,777AA (R&R),Greater than 12 years,Yes,No,Yes,Federal and state tuition assistance. No issues ,No,Yes,No,Yes,Yes,Yes,No,Education and service ,Military Growth Opportunities (sf & ocs) shut down multiple times by leadership regardless of spotless record ,Only re-enlisting cause I’m in to far to back out now ,"Proper training when you start, realistic expectations, proper management of areas/missions vs good ol boy system benefiting those who are willing to brown nose. ",,,,,,,Yes,Praised when you’re on top and berated with anything less 
2/8/2025 20:36:34,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,Eager to train up and deploy. I am here to serve!,No,,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Career training for my civilian job and service to my country and state!,Poor leadership,Build my career and 20 years retirement,Leader ship that actually care about Joe’s,,,,,,,No,Love training on tactics and weapons training!
2/8/2025 20:50:34,ZGEAA (429th BN),Greater than 3 years but less than 6,No,,No,,No,No,Yes,No,No,No,Yes,Change of pace,Goals and career prospects,I really don’t enjoy being in the military anymore. It’s more of a chore than a chance for camaraderie and new experiences. As it used to be..,More team building exercises,,,,,,,No,
2/8/2025 20:53:05,ZGEAA (429th BN),Greater than 3 years but less than 6,Yes,None,No,,No,No,No,Undecided,I am happy at my current unit,Yes,Yes,GOD COUNTRY ,Schools are longer to get a spot,I would reenlist,Motivated them ,,,,,,,No,
2/8/2025 20:57:30,777AA (R&R),Greater than 12 years,Yes,No,Yes,"Federal Ta, State Ta",No,Yes,Yes,Yes,No,I am happy in my current MOS,Yes,Service,N/A,N/A,N/A,,,,,,,Yes,
2/8/2025 21:00:18,777AA (R&R),Greater than 12 years,No,,Yes,,No,Yes,Yes,Yes,No,No,Yes,Money ,Nothing ,No,09M program ,,,,,,,Yes,
2/8/2025 21:03:18,777AA (R&R),Greater than 12 years,Yes,No,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Career,Nothing ,I'm interested in extending bc I love the NG,No mass punishments for the individual mess ups,,,,,,,Yes,
2/8/2025 21:03:30,XA3AA (1-116th 3rd BN),Greater than 3 years but less than 6,Yes,,Yes,Post 9/11 ,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,To get a break from active duty,"The army becoming soft pussies who don’t wanna get after it and kill people, everything is all about chest candy and it’s pathetic, also the big army’s training has just gone downhill in my opinion, I feel they don’t prepare for combat as well as they should and not to mention a lot of the GWOT dudes are out of the army so there isn’t much leadership out there that has that combat experience to properly prepare dudes as best as they can ",N/a,Maybe more fun events ,,,,,,,Yes,
2/8/2025 21:03:41,ZGEAA (429th BN),Greater than 12 years,Yes,No ,Yes,GI bill ,No,No,No,No,No,I am happy in my current MOS,Yes,Prior service ,"Over time, some leadership positions aren’t being filled by those who prioritize developing and supporting junior soldiers. Certain NCOs in different sections don’t always take the time to listen or understand the challenges younger soldiers face, which can lead to frustration and a lack of motivation to stay in. When leadership isn’t fully engaged in mentorship and professional growth, it impacts overall morale and career progression. ","I am not interested in extending or re-enlisting because I am mentally and physically exhausted from my time in the military. The process of getting promoted was unnecessarily difficult and took a significant toll on my mental well-being. It often felt like no matter how much effort I put in, the system was working against me, making it hard to stay motivated.

Additionally, I’ve lost confidence in leadership due to repeated instances where I was told, ‘I’ll check into it,’ only for there to be no follow-up or action. This pattern of empty promises and lack of accountability made me feel undervalued and unheard. Over time, the combination of these experiences drained my passion for continuing my service. I’ve reached a point where I need to prioritize my mental and physical health, and I believe it’s in my best interest to move on to the next chapter of my life outside of the military.","To improve morale within the company or battalion, leadership needs to be more engaged, accountable, and proactive in supporting soldiers. One of the biggest frustrations I’ve experienced is the lack of follow-through when soldiers bring up concerns or career development questions. If leaders commit to checking into something, they need to actually follow up and take action. This would help rebuild trust and show that soldiers’ voices matter.

Additionally, the promotion process should be more transparent and fair. Too often, it feels like a confusing, discouraging battle, which leads to frustration and burnout. Clearer guidance, mentorship, and advocacy from leadership would make a huge difference in keeping soldiers motivated and invested in their careers.

Finally, I would encourage leaders to take the time to actually listen to junior soldiers. Too many NCOs dismiss concerns without truly understanding the challenges younger soldiers face. Creating a culture where feedback is valued and acted upon would go a long way in improving morale and retention  ",,,,,,,Yes,
2/8/2025 21:04:51,XA3AA (1-116th 3rd BN),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,No,No,Yes,Yes,No,"Not sure anymore, I guess to serve me country and get a officer slot","Leadership, last minute decisions, issues with my section like equipment and training, looking bad at certain drills when it was out of our control (constantly)",Because this unit and probably the guard is the worst I’ve seen it and will either be done after my contract or go to AF Reserves.,"Better leadership, training, more SAD or orders that need bodies instead of MOS specific that get passed down to all units. More importantly see the whole soldier not flaws of the soldier. At one point I wanted to do 20 years but my time in the military to put it lightly has been underwhelming and a waste of time. But still trying to put my best foot forward each time I show up because I look at opportunity as a factor of me possibly staying in the military.",,,,,,,No,Just another soldier. Just “clocking in and out”
2/8/2025 21:05:43,ZGEAA (429th BN),Less than 3 years,No,N/A,No,N/A,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Always wanted to join the military ,Uncertainty in the Country and overseas ,I like being in the military so far but don't where things are headed.,I like the company that I am in so far.,,,,,,,No,N/A
2/8/2025 21:08:13,ZGEAA (429th BN),Greater than 12 years,Yes,No,No,N/A,Yes,No,Yes,Yes,Yes,Yes,Yes,Benefits,N/A,I’m AGR. I have reenlisted already ,More MWR time,,,,,,,Yes,
2/8/2025 21:09:22,ZGEAA (429th BN),Less than 3 years,No,,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,School,Can be exhausting,I'm not sure,My company is good,,,,,,,No,
2/8/2025 21:10:42,777AA (R&R),Greater than 12 years,Yes,,Yes,FTA,No,Yes,No,Undecided,No,I am happy in my current MOS,No,Service,Disregard for standard ,Steady decline in standards,"Genuine appreciation for accomplishment rather than “yeah, yeah, what’s next” and holding substandard performance for what it is",,,,,,,Yes,An across the board standard and expectations 
2/8/2025 21:10:58,777AA (R&R),Greater than 3 years but less than 6,No,,No,,Yes,No,Yes,Undecided,Yes,Yes,Yes,Nothing planned ,People within the guard ,The people within the guard ,Express we are still in the army ,,,,,,,Yes,
2/8/2025 21:11:54,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,Yes,No ,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,School ,The people/ leadership,Leadership,Better leadership,,,,,,,Yes,
2/8/2025 21:11:56,777AA (R&R),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Service,To much time spent doing mandatory trainings that don’t always apply to readiness,I have decided that I like what I am doing and want to complete my career,Use time more efficiently ,,,,,,,Yes,
2/8/2025 21:14:12,777AA (R&R),Greater than 12 years,No,No,Yes,State and federal TSA,No,Yes,No,Yes,No,No,Yes,Adventure,Command,Not being heard.,Soldier welfare is essential to a strong military.,,,,,,,Yes,Not being heard.
2/8/2025 21:17:31,ZGEAA (429th BN),Less than 3 years,No,No,No,,No,Yes,No,Undecided,No,Yes,No,School,Leadership,No,More leadership training,,,,,,,No,Some sgt do not value or respect their soilders
2/8/2025 21:34:20,XA3AA (1-116th 3rd BN),Less than 3 years,No,No,Yes,STAP,No,Yes,Yes,Undecided,I am happy at my current unit,Yes,Yes,Benefits,Nothing yet.,I don't know yet because it is to far out.,Nothing.,,,,,,,No,
2/8/2025 21:42:47,777AA (R&R),Greater than 12 years,Yes,No,Yes,TA,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,The benefits,Nothing,The benefits are too good to give up,Less micro managing,,,,,,,Yes,
2/8/2025 21:44:23,ZGEAA (429th BN),Greater than 12 years,Yes,N/A,No,,Yes,No,Yes,No,No,No,Yes,Leaving active duty didn't want to give up military,Toxic leadership and unprofessional NCOs who were buddy buddy with highers and who would lie or not push things forward because they were jealous or didn't like a soldier,I've hit my 20 years and I'm ready to retire. I should have been med boarded due to mental health and physical issues but no one cared and wanted to keep me because of my knowledge and ethics,Let them actually do their mos. Listen to input from the lowest ranked to the highest ranked. No one truly listens and that's what brings a soldiers morale down.,,,,,,,Yes,
2/8/2025 21:45:46,777AA (R&R),Greater than 6 years but less than 12,Yes,N/a,Yes,State and federal ta- no issues ,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Service to country ,Support from leadership ,N/a,More face time with higher leadership ,,,,,,,Yes,
2/8/2025 21:47:20,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,,Yes,"State TA, but it is on a reimbursement basis and it is only for tuition does not include additional cost",No,No,No,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Education benefits ,Leadership changing,No reason,Clearer understanding of the mission,,,,,,,Yes,
2/8/2025 21:48:18,777AA (R&R),Greater than 12 years,Yes,N/A,Yes,Post 9/11,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Purpose,Leadership not being as open minded to evolution,I will extend. My passion and purpose is greater than my circumstances ,"This is not a “one size fits all” type of mission. Trust the RRNCO to be and do what we are entrusted with doing. This is not a line unit nor is this solely analytics. There is a unique “human” factor involved that is directly and drastically impacted by so many other factors that did not exist in the past. Don’t punish and strongholds your TRUE RRNCOs for the lack of effort and commitment of those here just for the benefits. Also, evaluate and implement more effective training before solely resorting to threats, paperwork, work-life imbalance, and termination. Some of the underperformance is not by lack of effort or consideration but lack of efficient training and mentorship.",,,,,,,Yes,
2/8/2025 21:52:52,777AA (R&R),Greater than 12 years,No,,Yes,"State  & Federal TA (NC), Montgomery GI Bill",No,Yes,Yes,Undecided,I am happy at my current unit,Yes,Yes,College Benefits,Morale & Politics,Undecided ,Ensure that soldiers are heard the first time they have an issue. Plenty of soldiers are being told to kid deal with issues after filing a complaint instead of holding the right people accountable ,,,,,,,Yes,
2/8/2025 22:09:21,ZGEAA (429th BN),Greater than 6 years but less than 12,No,,Yes,"I had issues getting TA for most of my college. I got that and GI Bill, which had no issues",No,No,No,Yes,I am happy at my current unit,Yes,No,"College assistance, ability to serve community, break up monotony ",Difficulty of advancement,I'll likely reenlist but I wouldn't say I'm excited about it. I'll be excited if I can use it to enhance my civilian career or find good AGR opportunities ,Off-drill events and opportunities. Let us volunteer and meet up as a unit outside of duty hours. It could also help if hospitals could use our help inside or outside of drill. Opportunities for more involvement is what I'm saying. ,,,,,,,No,Promotion and leadership abilities
2/8/2025 22:11:41,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Wanted to serve my country and get paid to do it,The army is adapting to new ways and the soldiers are no longer adapting to the army way.,I’m reenlisting to keep my job,Show more soldier care,,,,,,,Yes,
2/8/2025 22:52:34,ZGEAA (429th BN),Greater than 3 years but less than 6,No,,No,,No,Yes,Yes,Yes,Yes,I am happy in my current MOS,Yes,A desire to serve my country ,The disorganization of the Virginia Army National Guard ,I’ll extend as long as the Army will allow me to extend.,Work on the disorganization that exists in the Virginia Army National Guard ,,,,,,,Yes,
2/8/2025 23:12:30,ZGEAA (429th BN),Greater than 12 years,Yes,,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Friend,Passed on promotion due to being deployed,Need 12 months on current for retirement ,Bonuses,,,,,,,Yes,
2/8/2025 23:23:13,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,To Serve ,N/A,N/A,N/A,,,,,,,Yes,
2/8/2025 23:38:35,777AA (R&R),Greater than 12 years,Yes,N/a,Yes,Fed TA,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,Stability for home, Nothing,I’m retiring!!! Albeit not soon enough,Get better jobs in the VA guard and more training seats,,,,,,,Yes,
2/9/2025 0:35:00,ZGEAA (429th BN),Greater than 3 years but less than 6,No,No,Yes,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,I have always wanted to join the military coming from a military family. Once I seen the benefits that came along with it I decided to join. ,"I have learned that the amount of money we receive for tuition is only provided for certain colleges. Also, it is quite difficult to find other ways to get my tuition paid for through the military.",I will not be re-enlisting because I feel that the military is stopping me from being able to finish college. Every time I get enrolled into nursing school I am not able to graduate on time due to our duty days. ,Learning to respect each other more and understand that we are in a professional environment every time we attend drills.,,,,,,,No,
2/9/2025 1:15:09,XA3AA (1-116th 3rd BN),Greater than 3 years but less than 6,No,No,No,,No,Yes,Yes,No,No,Yes,No,Benefits,Poor planning ,Not enough incentives to stay in or reenlist,Show that the unit cares by giving them training according to their MOS and make sure each section has the proper personnel for success ,,,,,,,No,
2/9/2025 1:26:45,XA3AA (1-116th 3rd BN),Greater than 3 years but less than 6,Yes,,No,,No,No,No,No,No,No,No,"Considered college so I wanted money for it , and military experience looks good on a resume.",Anything above a MUTA 4 is a damn crime. 3-4 day drill weekends are not even weekends. If it was actually just 2 days a month and 2 weeks in the summer I would be much more receptive to re-enlist. Drills are poorly planned and executed.,"The national guard takes more time from me than is advertised. The work days are way too long. Brother , an 8-10 hour work day I get but why the fuck am I working from 0800 to 2100? Also they make drill schedules a year out , and once drill comes everything is poorly organized and executed to where it really takes a toll on a soldier’s resilience after a few years. The majority of my leadership cares not about us and maybe not even themselves. We rarely train or do our jobs and do inventory all the time and then they get mad when we arent able to preform our MOS functions. We are set for failure at my unit and section.",Having a better and more concise schedule for drill weekends and return to MUTA 4s as the norm.,,,,,,,No,
2/9/2025 5:16:24,777AA (R&R),Greater than 3 years but less than 6,Yes,Na,Yes,Tuition assistance ,No,No,Yes,Yes,I am happy at my current unit,Yes,No,Education advancement,Poor leadership to teach the needed skill to succeed; drag on request to schools and opportunities ,Reenlisting due to change of leadership,Interest outside of work to ensure their mental health is good; assess their goals so I can help them progress even outside of the unit ,,,,,,,Yes,Felt like a number with no care to personal life impact
2/9/2025 6:10:43,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,,No,,No,Yes,No,Undecided,Yes,I am happy in my current MOS,No,Personal reasons ,The lack of respect and care of soldiers ,Its lack of care for soldiers and pay,Give soldiers a better understanding of what options they have for promotion and better pay,,,,,,,No,I still waiting on my promotion for for over 5 years to E5 even after being awarded a an award for my get work of NCOIC on mission 
2/9/2025 6:43:05,777AA (R&R),Greater than 12 years,Yes,,Yes,Gibill,No,Yes,Yes,Yes,No,No,Yes,Service ,Lack of holding soldiers responsible for lack of effort or production ,I am interested ,"If you can’t or refuse to be successful in the position you are hired into, quit or be moved somewhere you can. ",,,,,,,Yes,
2/9/2025 6:47:34,ZGEAA (429th BN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Job opportunities ,Nothing,I’m a miltech so I have to stay in to keep my job ,A few more home stations to have more time to train and address issues with Soldiers ,,,,,,,Yes,
2/9/2025 7:00:25,XA3AA (1-116th 3rd BN),Less than 3 years,No,No,Yes,"SLRP, MBGI, Tricare",No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Service and Duty,n/a,n/a,n/a,,,,,,,No,
2/9/2025 7:08:28,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,,Yes,,No,Yes,Yes,No,No,No,No,Family tradition and fulfilling my moral obligation to my country ,Family ,"Inconvenient to my family and nothing left to offer, techs don’t get bonuses and treated the worst. ",If I had the power I would implement common sense and morals to boost the morale of my people. ,,,,,,,No,
2/9/2025 7:11:38,ZGEAA (429th BN),Less than 3 years,No,what does deployment work and what does it look like??,No,,Yes,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,money,nothing,"for longer pay (interested), army isn’t a long term career for me (not interested)",not sure,,,,,,,No,
2/9/2025 7:13:42,ZGEAA (429th BN),Less than 3 years,Yes,Yes,Yes,Federal TA and I had no problems. I used State TA and had problems with it. ,No,Yes,Yes,Undecided,No,No,Yes,Tuition Assistance ,"Unorganized, plans that get put out for drill weekend do not take place. We have to wait around for so long and nothing to do including our MOS ","Unorganized, lack of communication, plans are not abided on, do not get to do my MOS during drill weekend. In general we just waste time doing nothing and the higher ups do not know what they want us to do and send us information on things to do last minute as in 30 minutes before dinner. ",Regardless of what I want to do to improve soldiers morale if everyone is not on the same page it can never happen. ,,,,,,,No,
2/9/2025 7:19:16,ZGEAA (429th BN),Less than 3 years,No,Do you have to deploy if you are in school?,No,,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,School house stability ,Money for school,Clarification ,Clarity ,,,,,,,No,
2/9/2025 7:20:45,ZGEAA (429th BN),Less than 3 years,No,,No,,No,No,No,Undecided,Yes,I am happy in my current MOS,Yes,Always wanted to join,Leadership ,I'm basing re-enlistment on my leadership ,Better planning ,,,,,,,No,
2/9/2025 7:31:17,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,No,,Yes,No,Yes,No,I am happy at my current unit,No,Yes,Family ,Growing my family ,To much toll on my family ,Nothing ,,,,,,,Yes,
2/9/2025 7:31:49,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,No,None,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,To shoot people in the face,I decided to become a pog,I will stay here until retirement. ,"More school funding, more muta 6s and 8s, more ados money to help supply. ",,,,,,,Yes,
2/9/2025 7:49:05,XA3AA (1-116th 3rd BN),Greater than 12 years,Yes,no,Yes,Joint Transcripts,No,No,Yes,No,No,No,Yes,Patriotism,Distance to armory,Retirement,More cooked meals,,,,,,,Yes,
2/9/2025 7:52:29,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,No,No,Yes,,No,No,No,No,Yes,Yes,Yes,Benefits,Organization in units ,Distance and unit,More organizations/opportunities within the unit,,,,,,,No,
2/9/2025 7:53:35,XA3AA (1-116th 3rd BN),Less than 3 years,No,N/A,Yes,,No,Yes,No,No,Yes,No,No,To serve my community and get help for my education,The lack of care from leadership ,Leadership putting their soldiers down ,Leadership trying to communicate in a better way,,,,,,,No,Not being talked down to from leadership 
2/9/2025 7:55:27,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,Yes,GI Bill and State Tuition Assistance ,No,No,Yes,Yes,Yes,Yes,Yes,College Assistance,None,N/A,N/A,,,,,,,Yes,
2/9/2025 7:56:33,XA3AA (1-116th 3rd BN),Greater than 12 years,Yes,No,Yes,Post 9/11,No,Yes,Yes,No,No,No,Yes,Family Pride,The fact that enlistment bonuses are not paid in a timely manner. The fact that one weekend a month and 2 weeks in the summer does not apply anymore. I am routinely doing Friday drills and 3 weeks ATs. This has put a hamper on civilian schools and set me behind on advancement and paying bills. ,I am not extending because I will reach 20 years and it has been the longest last 8 years of my career. The guard while on deployment does not care about family. There were no support structures in place to help soldiers needing child care inbetween drills like there is for active duty. ,Stop having drills on Friday. MUTA 5s and 6s hurt peoples civilian jobs if they only get limited PTO for the year. Having a 3 week AT is asking a lot. I would go without pay for weeks because the pay is paid out after AT and I have to wait weeks for my civilian job to pay me when I get back. ,,,,,,,Yes,
2/9/2025 7:59:44,ZGEAA (429th BN),Less than 3 years,No,How long are we staying once deployed ,No,,No,No,Yes,Undecided,No,Yes,Yes,"Built my mindset, challenge my fears",My MOS,Need to change my MOS.. cuz what I joined for wasn’t available when took the ASBAB,Do the right thing ,,,,,,,No,
2/9/2025 8:03:36,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,Yes,No,Yes,I am happy in my current MOS,Yes,To help,Wasting time,Depends on if I’ll continue to feel like I’m wasting time,Stop wasting time and let us train our MOS,,,,,,,Yes,
2/9/2025 8:04:01,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,,Yes,,No,Yes,Yes,Undecided,Yes,Yes,No,School,"Changes in dates of drill, hard to schedule around",More job opportunities and school opportunities ,Opportunities ,,,,,,,No,
2/9/2025 8:04:05,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,,Yes,"Ignited, no",No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,School money,High leadership less interested in sending us to school and promoting development ,It will greatly depend on if I get sent to the school that will improve my civilian career,"Actually send people to schools, plan field drills better, this one was a mess",,,,,,,Yes,
2/9/2025 8:04:24,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,,Yes,"Post 9/11 GI bill, Montgomery GI bill, State Tuition",No,No,No,Yes,Yes,I am happy in my current MOS,Yes,School funds,Lack of communication ,Lack of communication ,Focus better on pushing down information to the enlisted ,,,,,,,Yes,
2/9/2025 8:04:32,X58AA (183rd CAV),Greater than 3 years but less than 6,No,no,No,,No,No,Yes,Yes,Yes,No,Yes,insurance,unit organization and planning,interested,nothing,,,,,,,No,
2/9/2025 8:04:41,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,No,Yes,Tuition Assistance ,No,No,Yes,Yes,Yes,Yes,Yes,School Assistants ,Nothing,School benefits and Health Insurance ,N/A,,,,,,,Yes,
2/9/2025 8:04:49,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,Yes,Undecided,Yes,Yes,Yes,Continue service from active Navy ,Lack of organization from upper leadership ,Dependent on career route ,More care into SRB and school accessibility ,,,,,,,No,
2/9/2025 8:05:03,X58AA (183rd CAV),Greater than 3 years but less than 6,No,,Yes,Tuition Assistance & GI Bill,No,No,Yes,No,No,No,Yes,College ,Nothing ,Because I have a good job in the civilian world ,Nothing ,,,,,,,No,
2/9/2025 8:05:08,X58AA (183rd CAV),Less than 3 years,No,No,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Retirement ,Nothing,"Retirement, health insurance ",Nothing,,,,,,,No,
2/9/2025 8:05:15,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,,No,,No,No,No,No,No,No,No,Benefits ,Lack of communication ,Civilian job,Communication ,,,,,,,No,No communication 
2/9/2025 8:06:13,X58AA (183rd CAV),Greater than 3 years but less than 6,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Not sure ,N/a,Don’t like it ,Na,,,,,,,No,Yes
2/9/2025 8:07:05,X58AA (183rd CAV),Greater than 3 years but less than 6,No,Not yet,Yes,State TA,No,No,No,Undecided,Yes,Yes,Yes,For new experiences ,The unit attitude,Lack of good leadership,Prioritize activities as a unit,,,,,,,Yes,
2/9/2025 8:07:15,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,N/A,Yes,GI Bill and no issues,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Tricare,Nothing yet,"I haven't decided yet, but as long as I am taken care of while I am taking care of the Army, I will be happy",Adding compassion and respect to the formation. ,,,,,,,Yes,
2/9/2025 8:07:32,X58AA (183rd CAV),Less than 3 years,No,No,No,No,No,No,No,No,No,No,No,Lies ,Lazy leadership ,No,Plan better.,,,,,,,No,No
2/9/2025 8:07:48,X58AA (183rd CAV),Greater than 3 years but less than 6,No,None,No,,No,Yes,No,No,No,No,Yes,"Education benefits, service to the nation and community","Pay issues, bonus issues, disregard for enlisted concerns.",See above,Timely and consistent payouts for incentives and bonuses. School availability ,,,,,,,No,
2/9/2025 8:07:52,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,N/A,Yes,State tuition assistance ,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Another retirement source,Unit shut down,Undecided ,N/a,,,,,,,No,
2/9/2025 8:07:57,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,Yes,No,No,No,No,Lies,I lost weight ,Want to go active,More family events,,,,,,,No,
2/9/2025 8:08:03,X58AA (183rd CAV),Greater than 6 years but less than 12,No,Yes,Yes,Gi bill ,No,No,Yes,No,No,No,Yes,Transition from active duty,Work ,Work and family time ,I don't know ,,,,,,,No,
2/9/2025 8:08:22,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,Nope,No,,Yes,No,Yes,No,No,I am happy in my current MOS,Yes,wanted to stay in military after active,Nothing,not feeling it anymore,nothing,,,,,,,Yes,
2/9/2025 8:08:37,X58AA (183rd CAV),Greater than 3 years but less than 6,No,,Yes,State TA and Montgomery GI-Bill,No,No,Yes,No,No,No,Yes,Tuition Assistance,"Nothing really, I just wanted to get my school paid for and leave.","I don’t want to be in the military. Like I mentioned above, I just wanted to complete school with as little debt as possible and get out.","Let us know the drill schedule much more in advance, provide decent food, be more organized, more time for section training, ",,,,,,,No,
2/9/2025 8:09:42,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,I want more. Give me anything more.,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,"Mom was sick, became medical because of it",None that I can think of,"Family was 20 years, plan to do full 20",Better scheduling & more opportunities to go to other classes for the NG.,,,,,,,No,
2/9/2025 8:09:57,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,No,No,,No,Yes,Yes,Undecided,Yes,Yes,Yes,Bonus ,Life changes,Insurance ,N/A,,,,,,,No,
2/9/2025 8:10:06,X58AA (183rd CAV),Less than 3 years,Yes,No ,Yes,Army ignited ,No,No,No,Undecided,Yes,Yes,No,To get benefits and serve my state and country .,Leadership,No,Send the drill schedule out before the night before drill ,,,,,,,No,No
2/9/2025 8:10:23,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,N/A,No,,No,No,Yes,Undecided,No,No,Yes,SFAS,The culture and doctrine ,Not honing or  maintaining my mos proficiency ,SPC and CPLs to have more freedom of movement and take leadership roles ,,,,,,,Yes,
2/9/2025 8:10:34,X58AA (183rd CAV),Less than 3 years,No,,Yes,"G.I bill
FTA
STA",No,Yes,Yes,Yes,Yes,Yes,Yes,Because of the educational benefits ,How difficult it is to get my bonus and some other educational benefits. ,Because of how difficult it is to get my bonus and some other educational benefits. ,"Make the education benefits more simple to get. And also, teach new soldiers the military acronyms because I mostly don’t understand most of these military acronyms",,,,,,,No,
2/9/2025 8:10:48,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,No,No,,No,Yes,Yes,Undecided,No,No,No,Wanted to serve my country ,People  ,ETS,Better soldier care ,,,,,,,Yes,
2/9/2025 8:11:19,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,,No,,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,Cause I wanted to ,Nothing,N/A,Dont know,,,,,,,Yes,
2/9/2025 8:11:54,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,N/A,Yes,Federal Tuition Assistance and State Tuition Assistance,No,No,Yes,Undecided,No,I am happy in my current MOS,Yes,Patriotism and educational benefits,Burned out,Not interested in making a career out of the Army and wanting to go into the civilian workforce.,More solid planning and assistance with student loan repayment benefits.,,,,,,,No,
2/9/2025 8:12:00,X58AA (183rd CAV),Greater than 3 years but less than 6,No,,No,,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Educational benefits ,Nothing ,N/A,Nothing ,,,,,,,No,
